id,Rented Bike Count
16356,958.601294129857
13741,342.74404140865084
10040,994.7285548291579
15360,686.7154404015985
10802,238.19655518589622
14629,194.5396009440597
10350,2416.1877888544786
12662,282.3746907518644
13805,292.25120589853645
15986,360.6326634546157
12258,110.67401434618716
12082,133.8669985854089
11450,662.5179505847216
10548,743.1325425300399
18281,439.81030433148766
13541,1008.6499029543579
11638,285.1627082162157
18738,203.9721191351973
12827,218.63446866187627
16551,299.23208550008917
13768,406.80596409251405
11632,692.5413138301599
10437,167.2333119590533
11645,589.9125151904394
11595,856.5960560595171
13539,64.85544455185084
11976,550.5601607243144
13868,1033.838297252384
16209,597.0088614027557
10617,1313.5283692354183
16803,1810.3299751638785
16226,219.61595655130682
17715,1806.0768848661355
11297,395.75295911258615
18002,2036.0869312319542
13008,980.2754358949692
15479,55.535322962433796
15373,0.0
13069,1279.7926385034207
15835,578.9635399644762
18688,975.5572993705671
16716,606.5875109530219
11753,927.9932234546449
18300,154.27313382952175
15857,1022.6956100297716
17609,1079.2402767210294
10013,436.3534777511099
17225,359.3063319173009
12369,170.45442530187648
16383,1305.464403865244
12728,860.6508956992022
18287,22.472642058022117
15150,92.6568628507421
18037,46.69583863473844
17785,767.479780985793
14926,866.9515252768152
12920,180.80973278358695
10062,1882.3866192302553
14745,2100.9568572679814
17149,2273.4210659412784
13636,227.1573054452014
11075,1731.0435378867642
13434,146.95708237796947
15383,1668.6499229515387
10719,1514.804057101096
10236,54.696006090200015
11508,540.7674915475432
13524,76.96661186167724
14091,0.0
18196,1991.8894596482542
10496,1876.5227732295311
12192,192.4625501193996
14794,94.73234690501867
15031,930.4308044468971
10158,76.7083107369188
17533,0.0
15948,337.51178132991515
13360,889.0867213224791
15755,308.46621241669067
14795,2018.7404670900833
13637,2331.5134974079406
14910,1649.9270672154757
10672,1020.147458992676
18675,1263.6900970966221
14849,552.4550922301397
16367,220.35596873270947
12409,124.25104398988566
14787,1486.8501656325961
16744,1122.0698500616306
14424,306.448717240468
15424,935.2251406803753
15839,789.9733858128618
16260,597.3951209152467
14628,945.4326294711993
12309,630.7813257691708
14211,1858.3834237724013
17127,236.9903936534971
12722,1347.905005708673
18351,80.1077292250803
14841,516.9283252022544
14669,535.3448911995737
17346,176.16239872305772
17529,1018.5074688063119
15671,1224.404637481716
15519,1745.8678583738097
17191,1599.6106036349217
16035,314.2139815235175
14831,599.1327853658676
13344,1351.971083301464
17637,380.686118781231
11865,160.18469441873458
18245,559.2051177516471
15525,892.2709983091945
16190,1392.9812502196646
14212,1168.407825767695
15225,1210.7290565130847
13280,14.968564759190961
13765,218.72364135560602
10994,127.84733484421405
13843,298.53514249621685
